rank,dead,online,name,level,class,id,experience,account,challenges,twitch,ladder
1365,FALSE,FALSE,Baronloth,98,Necromancer,11e712588974db31deb6b2030b10be27b8e7fccf4ededb8fb6c6ef1d33640b8d,3898805421,Gunloth,28,null,Harbinger
1365,TRUE,FALSE,Zoltanis_A,95,Guardian,36abc9ecc4b2d9d82f16a6e882290ce091bf9198e929d611fd685734e2361849,2916964974,Ironoz,40,ironoz,Hardcore Harbinger
1365,FALSE,FALSE,LolipopMassacre,91,Ascendant,6529a0d96890d24cf25f7ee59fcf072d5cad383b1ba71503b110ab9aed58453d,2101249256,treacherous_pie,36,treacherouscake,SSF Harbinger
1365,TRUE,FALSE,CZ_CANTHCFORSHITANYMORE,88,Gladiator,72cc702f9df9adb2ab522782bc16662580c25df0a69825a69113326a4582281a,1646943474,czh,23,null,SSF Harbinger HC
1366,TRUE,FALSE,PashaCarryShadowWord,95,Inquisitor,761483279e726f8dc58b13d5365105c9f6e28bdd017d1403515d3a636b2dc2a2,2916952769,PASHAZAUR,30,null,Hardcore Harbinger
1366,FALSE,FALSE,MyFireIsSoRighteous,98,Berserker,d9c1f81cfd58f3aeffdf181425e2a9933e37a53f70f28a68a4ae484b79b1b344,3898695140,Letalis3,37,null,Harbinger
1366,FALSE,FALSE,Martirium,91,Slayer,eae8f791af1c740e14dffa8a0d95bcf99b209437ee5d69e9da7c25b4d99f6559,2101228807,PedroSilva20,26,null,SSF Harbinger
1366,TRUE,FALSE,vivnrf,88,Inquisitor,fb87ba6b5b7dc5ec3dc38e5a34eb6de58bcd364118db4443eebda15356e6af36,1646943474,vivn,28,thevivn,SSF Harbinger HC
1367,TRUE,FALSE,Lalatinas,88,Raider,0b963d8002f6cb9da1266d26f925d282817ee2e460c5c72b6329cb2ee8cbb8a5,1646943474,07Ghost,29,null,SSF Harbinger HC
1367,FALSE,FALSE,ketbar,98,Pathfinder,6af2a77696f7bff6bc23b029703a2be8826e6e561025184c677d8ad43b563dd7,3892218408,ketsutoru1269,28,null,Harbinger
1367,FALSE,FALSE,tsnnn,91,Slayer,84b6e44d4b8076d7c8c89ed0d548bbb4d6d4929813550ff221e24e75ab4a94cd,2101084523,t9s1n2,23,null,SSF Harbinger
1367,TRUE,FALSE,Machine__Head,95,Slayer,94d2f1ceeb9c10832876b5edd03c961921eca981d93cc440c49fd00cef1f8dc3,2916634109,Moyomoto,36,null,Hardcore Harbinger
1368,FALSE,FALSE,SzarikPiesVII,98,Gladiator,4f43760d77e403b2810bf40ff60e7a09019ae1831bb039cb76c1befad77e3df2,3891217723,SzarikPies,40,null,Harbinger
1368,FALSE,FALSE,megamyffelnyo,91,Gladiator,808066257c8e2522abfa65ae4e48389807fe3631ea3355ba3f39a0ea4f217ce6,2101077461,Myffeln,29,null,SSF Harbinger
1368,TRUE,FALSE,Hcis,88,Saboteur,c5350d0bd764a2ae9436a61dcfff954dba04a81d675cd247c5c6f90221fa490d,1646943474,Addiction,16,null,SSF Harbinger HC
1368,FALSE,FALSE,BornFromPain,95,Necromancer,fa3955b2d65d0e46f4cea79150d62b78b6c84a4d0ee2b468d87def37ef5c3bd5,2916548742,BaseOne,26,null,Hardcore Harbinger
1369,FALSE,FALSE,TODAMOOON,95,Guardian,291d3181a8f235626512dcd069d9218694999ded1d89bc979527d71a1e1585e9,2916510629,imfckindead,21,null,Hardcore Harbinger
1369,FALSE,FALSE,Acadi_Shadow,91,Saboteur,7a4b81b3b32dcafecfb642c92b6d5bf7243e931813ecf6a15e89ffa3c02b791a,2101038616,acadi127,28,acadi127,SSF Harbinger
1369,TRUE,FALSE,jakeH_a,88,Juggernaut,8d6618b2d8736985b106a79c3213d6def766a3cc0d0c116bdea33869f03e86d7,1646943474,LaserPanther,27,jakehoffmann,SSF Harbinger HC
1369,FALSE,FALSE,NacpanaJanna,98,Raider,d8d329241d314ed2aa9575823f0eba02a534fda7009c52c1d0b06759dbfab6cb,3889688246,dnblackk,31,null,Harbinger
1370,TRUE,FALSE,RAKRIKU,88,Gladiator,897b3e68a814bfdca145e34e781de72e0862a329d2921ec0d4d0b7147bf7d896,1646943474,Sherlockian,23,null,SSF Harbinger HC
